FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091114;0000;;14,2625;;
091115;0000;;14,575;;
091116;0000;;19,3833;;
091117;0000;;18,3458;;
091118;0000;;16,8041;;
091119;0000;;4,94166;;
091120;0000;;15,0583;;
091121;0000;;16,75;;
091122;0000;;19,2542;;
091123;0000;;14,0833;;
091124;0000;;9,43748;;
091125;0000;;9,86249;;
091126;0000;;15,6833;;
091127;0000;;15,2917;;
091128;0000;;14,4625;;
091129;0000;;9,27498;;
091130;0000;;19,4291;;
091201;0000;;16,0291;;
091202;0000;;17,9708;;
091203;0000;;26,6292;;
091204;0000;;26,7541;;
091205;0000;;12,8375;;
091206;0000;;20,0625;;
091207;0000;;11,3125;;
091208;0000;;13,075;;
091209;0000;;17,1041;;
091210;0000;;19,5458;;
091211;0000;;15,9917;;
091212;0000;;20,7875;;
091213;0000;;21,575;;
091214;0000;;22,7458;;
091215;0000;;31,4791;;
091216;0000;;23,8083;;
091217;0000;;23,5291;;
091218;0000;;19,7666;;
091219;0000;;15,6625;;
091220;0000;;19,3083;;
091221;0000;;17,4916;;
091222;0000;;13,5625;;
091223;0000;;13,0292;;
091224;0000;;16,3208;;
091225;0000;;20,4041;;
091226;0000;;27,3416;;
091227;0000;;31,3708;;
091228;0000;;19,6042;;
091229;0000;;20,5333;;
091230;0000;;14,2292;;
091231;0000;;13,4875;;
100101;0000;;12,9583;;
100102;0000;;24,9458;;
100103;0000;;12,9;;
100104;0000;;12,1958;;
100105;0000;;10,7917;;
100106;0000;;18,8375;;
100107;0000;;20,7125;;
100108;0000;;17,6333;;
100109;0000;;21,0375;;
100110;0000;;21,8291;;
100111;0000;;11,3;;
100112;0000;;34,6083;;
100113;0000;;33,525;;
100114;0000;;40,1416;;
100115;0000;;22,9208;;
100116;0000;;16,8875;;
100117;0000;;16,6875;;
100118;0000;;10,9083;;
100119;0000;;19,6708;;
100120;0000;;;;
100121;0000;;;;
100122;0000;;39,3541;;
100123;0000;;43,3208;;
