FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230814;0000;;;;
230815;0000;;;31;
230816;0000;;;;
230817;0000;;3;;
230818;0000;;3;;
230819;0000;;8;;
230820;0000;;6;;
230821;0000;;4;;
230822;0000;;2;;
230823;0000;;3;;
230824;0000;;2;;
230825;0000;;4;;
230826;0000;;8;;
230827;0000;;8;;
230828;0000;;7;;
230829;0000;;7;;
230830;0000;;3;;
230831;0000;;7;;
230901;0000;;12;;
230902;0000;;9;;
230903;0000;;6;;
230904;0000;;;;
230905;0000;;;;
230906;0000;;5;;
230907;0000;;3;;
230908;0000;;6;;
230909;0000;;7;;
230910;0000;;6;;
230911;0000;;2;;
230912;0000;;4;;
230913;0000;;5;;
230914;0000;;5;;
230915;0000;;9;;
230916;0000;;5;;
230917;0000;;3;;
230918;0000;;6;;
230919;0000;;10;;
230920;0000;;5;;
230921;0000;;3;;
230922;0000;;4;;
230923;0000;;2;;
230924;0000;;4;;
230925;0000;;3;;
230926;0000;;2;;
230927;0000;;4;;
230928;0000;;4;;
230929;0000;;;6;
230930;0000;;;8;
231001;0000;;;8;
231002;0000;;;8;
231003;0000;;7;;
231004;0000;;8;;
231005;0000;;12;;
231006;0000;;6;;
231007;0000;;7;;
231008;0000;;10;;
231009;0000;;10;;
231010;0000;;6;;
231011;0000;;8;;
231012;0000;;10;;
231013;0000;;12;;
231014;0000;;11;;
231015;0000;;9;;
231016;0000;;8;;
231017;0000;;8;;
231018;0000;;10;;
231019;0000;;10;;
231020;0000;;12;;
231021;0000;;7;;
231022;0000;;9;;
231023;0000;;6;;
231024;0000;;8;;
231025;0000;;11;;
231026;0000;;11;;
231027;0000;;8;;
231028;0000;;7;;
231029;0000;;4;;
231030;0000;;5;;
231031;0000;;7;;
231101;0000;;5;;
231102;0000;;6;;
231103;0000;;9;;
231104;0000;;12;;
231105;0000;;8;;
231106;0000;;6;;
231107;0000;;7;;
231108;0000;;11;;
231109;0000;;13;;
231110;0000;;7;;
231111;0000;;5;;
231112;0000;;5;;
231113;0000;;8;;
231114;0000;;9;;
231115;0000;;8;;
231116;0000;;6;;
231117;0000;;6;;
231118;0000;;9;;
231119;0000;;9;;
231120;0000;;6;;
231121;0000;;5;;
231122;0000;;8;;
231123;0000;;10;;
231124;0000;;11;;
231125;0000;;10;;
231126;0000;;9;;
231127;0000;;6;;
231128;0000;;5;;
231129;0000;;8;;
231130;0000;;9;;
231201;0000;;3;;
231202;0000;;6;;
231203;0000;;11;;
231204;0000;;11;;
231205;0000;;12;;
231206;0000;;9;;
231207;0000;;14;;
231208;0000;;7;;
231209;0000;;10;;
231210;0000;;16;;
231211;0000;;9;;
231212;0000;;;;
231213;0000;;11;;
231214;0000;;11;;
231215;0000;;6;;
231216;0000;;5;;
231217;0000;;6;;
231218;0000;;8;;
231219;0000;;10;;
231220;0000;;9;;
231221;0000;;9;;
231222;0000;;13;;
231223;0000;;12;;
231224;0000;;9;;
231225;0000;;11;;
231226;0000;;9;;
231227;0000;;7;;
231228;0000;;6;;
231229;0000;;7;;
231230;0000;;6;;
231231;0000;;5;;
240101;0000;;10;;
240102;0000;;12;;
240103;0000;;8;;
240104;0000;;7;;
240105;0000;;6;;
240106;0000;;7;;
240107;0000;;4;;
240108;0000;;5;;
240109;0000;;8;;
240110;0000;;9;;
240111;0000;;8;;
240112;0000;;10;;
240113;0000;;9;;
240114;0000;;9;;
240115;0000;;10;;
240116;0000;;6;;
240117;0000;;8;;
240118;0000;;6;;
240119;0000;;14;;
240120;0000;;14;;
240121;0000;;12;;
240122;0000;;10;;
240123;0000;;7;;
240124;0000;;9;;
240125;0000;;8;;
240126;0000;;6;;
240127;0000;;5;;
240128;0000;;8;;
240129;0000;;10;;
240130;0000;;14;;
240131;0000;;13;;
240201;0000;;14;;
240202;0000;;33;;
240203;0000;;119;;
240204;0000;;14;;
240205;0000;;49;;
240206;0000;;11;;
240207;0000;;13;;
240208;0000;;10;;
240209;0000;;14;;
240210;0000;;11;;
240211;0000;;6;;
240212;0000;;12;;
240213;0000;;12;;
240214;0000;;8;;
240215;0000;;6;;
240216;0000;;5;;
240217;0000;;10;;
240218;0000;;14;;
240219;0000;;11;;
240220;0000;;7;;
240221;0000;;6;;
240222;0000;;3;;
240223;0000;;6;;
240224;0000;;9;;
240225;0000;;10;;
240226;0000;;11;;
240227;0000;;8;;
240228;0000;;8;;
240229;0000;;11;;
240301;0000;;11;;
240302;0000;;11;;
240303;0000;;9;;
240304;0000;;13;;
240305;0000;;12;;
240306;0000;;12;;
240307;0000;;9;;
240308;0000;;5;;
240309;0000;;6;;
240310;0000;;9;;
240311;0000;;6;;
240312;0000;;4;;
240313;0000;;7;;
240314;0000;;8;;
240315;0000;;13;;
240316;0000;;11;;
240317;0000;;14;;
240318;0000;;16;;
240319;0000;;11;;
240320;0000;;7;;
240321;0000;;10;;
