FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240702;0000;33;;;
240703;0000;34;;;
240704;0000;28;;;
240705;0000;57;;;
240706;0000;56;;;
240707;0000;61;;;
240708;0000;59;;;
240709;0000;43;;;
240710;0000;28;;;
240711;0000;56;;;
240712;0000;50;;;
240713;0000;81;;;
240714;0000;77;;;
240715;0000;67;;;
240716;0000;62;;;
240717;0000;43;;;
240718;0000;42;;;
240719;0000;39;;;
240720;0000;53;;;
240721;0000;34;;;
240722;0000;39;;;
240723;0000;29;;;
240724;0000;41;;;
240725;0000;36;;;
240726;0000;48;;;
240727;0000;38;;;
240728;0000;58;;;
240729;0000;52;;;
240730;0000;50;;;
240731;0000;48;;;
240801;0000;22;;;
240802;0000;;;;
240803;0000;13;;;
240804;0000;32;;;
240805;0000;15;;;
240806;0000;6;;;
240807;0000;17;;;
240808;0000;36;;;
240809;0000;35;;;
240810;0000;35;;;
240811;0000;41;;;
240812;0000;36;;;
240813;0000;32;;;
240814;0000;38;;;
240815;0000;;;;
240816;0000;;;;
240817;0000;;;;
240818;0000;;;;
240819;0000;27;;;
240820;0000;;;;
240821;0000;18;;;
240822;0000;;;;
240823;0000;;;;
240824;0000;;;;
240825;0000;;;;
240826;0000;;;;
240827;0000;;;;
240828;0000;19;;;
240829;0000;16;;;
240830;0000;13;;;
240831;0000;31;;;
240901;0000;29;;;
240902;0000;9;;;
240903;0000;14;;;
240904;0000;21;;;
240905;0000;25;;;
240906;0000;19;;;
240907;0000;16;;;
240908;0000;24;;;
240909;0000;23;;;
240910;0000;12;;;
240911;0000;13;;;
240912;0000;17;;;
240913;0000;16;;;
240914;0000;26;;;
240915;0000;19;;;
240916;0000;20;;;
240917;0000;15;;;
240918;0000;31;;;
240919;0000;6;;;
240920;0000;22;;;
240921;0000;10;;;
240922;0000;10;;;
240923;0000;7;;;
240924;0000;11;;;
240925;0000;13;;;
240926;0000;20;;;
240927;0000;22;;;
240928;0000;16;;;
240929;0000;15;;;
240930;0000;9;;;
241001;0000;10;;;
241002;0000;16;;;
241003;0000;18;;;
241004;0000;18;;;
241005;0000;15;;;
241006;0000;13;;;
241007;0000;13;;;
241008;0000;5;;;
241009;0000;13;;;
241010;0000;15;;;
241011;0000;12;;;
241012;0000;18;;;
241013;0000;15;;;
241014;0000;13;;;
241015;0000;18;;;
241016;0000;11;;;
241017;0000;15;;;
241018;0000;16;;;
241019;0000;14;;;
241020;0000;4;;;
241021;0000;6;;;
241022;0000;10;;;
241023;0000;6;;;
241024;0000;8;;;
241025;0000;10;;;
241026;0000;13;;;
241027;0000;13;;;
241028;0000;17;;;
241029;0000;14;;;
241030;0000;15;;;
241031;0000;12;;;
241101;0000;9;;;
241102;0000;7;;;
241103;0000;6;;;
241104;0000;9;;;
241105;0000;11;;;
241106;0000;13;;;
241107;0000;13;;;
241108;0000;13;;;
241109;0000;10;;;
241110;0000;5;;;
241111;0000;6;;;
241112;0000;10;;;
241113;0000;16;;;
241114;0000;15;;;
241115;0000;12;;;
241116;0000;13;;;
241117;0000;12;;;
241118;0000;11;;;
241119;0000;11;;;
241120;0000;12;;;
241121;0000;11;;;
241122;0000;7;;;
241123;0000;6;;;
241124;0000;4;;;
241125;0000;6;;;
241126;0000;7;;;
241127;0000;8;;;
241128;0000;7;;;
241129;0000;;;;
241130;0000;8;;;
241201;0000;6;;;
241202;0000;8;;;
241203;0000;11;;;
241204;0000;17;;;
241205;0000;9;;;
241206;0000;7;;;
241207;0000;11;;;
241208;0000;7;;;
241209;0000;12;;;
241210;0000;14;;;
241211;0000;14;;;
241212;0000;9;;;
241213;0000;14;;;
241214;0000;12;;;
241215;0000;12;;;
241216;0000;11;;;
241217;0000;12;;;
241218;0000;12;;;
241219;0000;16;;;
241220;0000;21;;;
241221;0000;17;;;
241222;0000;18;;;
241223;0000;15;;;
241224;0000;12;;;
241225;0000;11;;;
241226;0000;12;;;
241227;0000;10;;;
241228;0000;10;;;
241229;0000;12;;;
241230;0000;14;;;
241231;0000;11;;;
250101;0000;11;;;
250102;0000;9;;;
250103;0000;13;;;
250104;0000;12;;;
250105;0000;12;;;
250106;0000;11;;;
250107;0000;9;;;
250108;0000;11;;;
250109;0000;10;;;
250110;0000;11;;;
250111;0000;12;;;
250112;0000;11;;;
250113;0000;10;;;
250114;0000;10;;;
250115;0000;10;;;
250116;0000;6;;;
250117;0000;10;;;
250118;0000;8;;;
250119;0000;9;;;
250120;0000;11;;;
250121;0000;15;;;
250122;0000;9;;;
250123;0000;8;;;
250124;0000;11;;;
250125;0000;14;;;
250126;0000;16;;;
250127;0000;12;;;
250128;0000;11;;;
250129;0000;13;;;
250130;0000;16;;;
250131;0000;12;;;
250201;0000;10;;;
250202;0000;11;;;
250203;0000;9;;;
250204;0000;9;;;
250205;0000;10;;;
250206;0000;10;;;
250207;0000;15;;;
250208;0000;19;;;
250209;0000;19;;;
250210;0000;13;;;
250211;0000;18;;;
250212;0000;16;;;
250213;0000;20;;;
250214;0000;16;;;
250215;0000;10;;;
250216;0000;11;;;
250217;0000;13;;;
250218;0000;12;;;
250219;0000;14;;;
250220;0000;12;;;
250221;0000;12;;;
250222;0000;12;;;
250223;0000;8;;;
250224;0000;9;;;
250225;0000;;;;
250226;0000;10;;;
250227;0000;15;;;
250228;0000;8;;;
