FECHA (YYMMDD);HORA (HHMM);;
140608;2300;0;
140609;0000;0;
140609;0100;0;
140609;0200;0;
140609;0300;0;
140609;0400;0;
140609;0500;0;
140609;0600;0;
140609;0700;1;
140609;0800;22;
140609;0900;265;
140609;1000;496;
140609;1100;593;
140609;1200;634;
140609;1300;604;
140609;1400;514;
140609;1500;354;
140609;1600;104;
140609;1700;11;
140609;1800;0;
140609;1900;0;
140609;2000;0;
140609;2100;0;
140609;2200;0;
140609;2300;0;
140610;0000;0;
140610;0100;0;
140610;0200;0;
140610;0300;0;
140610;0400;0;
140610;0500;0;
140610;0600;0;
140610;0700;1;
140610;0800;24;
140610;0900;47;
140610;1000;67;
140610;1100;182;
140610;1200;285;
140610;1300;306;
140610;1400;273;
140610;1500;138;
140610;1600;66;
140610;1700;6;
140610;1800;0;
140610;1900;0;
140610;2000;0;
140610;2100;0;
140610;2200;0;
140610;2300;0;
140611;0000;0;
140611;0100;0;
140611;0200;0;
140611;0300;0;
140611;0400;0;
140611;0500;0;
140611;0600;0;
140611;0700;0;
140611;0800;9;
140611;0900;62;
140611;1000;94;
140611;1100;125;
140611;1200;64;
140611;1300;16;
140611;1400;8;
140611;1500;6;
140611;1600;3;
140611;1700;0;
140611;1800;0;
140611;1900;0;
140611;2000;0;
140611;2100;0;
140611;2200;0;
140611;2300;0;
140612;0000;0;
140612;0100;0;
140612;0200;0;
140612;0300;0;
140612;0400;0;
140612;0500;0;
140612;0600;0;
140612;0700;0;
140612;0800;2;
140612;0900;15;
140612;1000;91;
140612;1100;141;
140612;1200;351;
140612;1300;275;
140612;1400;183;
140612;1500;74;
140612;1600;139;
140612;1700;11;
140612;1800;0;
140612;1900;0;
140612;2000;0;
140612;2100;0;
140612;2200;0;
140612;2300;0;
140613;0000;0;
140613;0100;0;
140613;0200;0;
140613;0300;0;
140613;0400;0;
140613;0500;0;
140613;0600;0;
140613;0700;1;
140613;0800;21;
140613;0900;263;
140613;1000;501;
140613;1100;608;
140613;1200;641;
140613;1300;612;
140613;1400;384;
140613;1500;202;
140613;1600;93;
140613;1700;9;
140613;1800;0;
140613;1900;0;
140613;2000;0;
140613;2100;0;
