FECHA (YYMMDD);HORA (HHMM);;
140705;1500;1020;
140705;1600;1020;
140705;1700;1020;
140705;1800;1021;
140705;1900;1021;
140705;2000;1021;
140705;2100;1021;
140705;2200;1020;
140705;2300;1020;
140706;0000;1020;
140706;0100;1019;
140706;0200;1018;
140706;0300;1018;
140706;0400;1018;
140706;0500;1018;
140706;0600;1017;
140706;0700;1017;
140706;0800;1017;
140706;0900;1017;
140706;1000;1017;
140706;1100;1016;
140706;1200;1016;
140706;1300;1015;
140706;1400;1014;
140706;1500;1013;
140706;1600;1013;
140706;1700;1013;
140706;1800;1013;
140706;1900;1013;
140706;2000;1013;
140706;2100;1012;
140706;2200;1013;
140706;2300;1012;
140707;0000;1012;
140707;0100;1012;
140707;0200;1011;
140707;0300;1010;
140707;0400;1010;
140707;0500;1010;
140707;0600;1010;
140707;0700;1010;
140707;0800;1010;
140707;0900;1010;
140707;1000;1011;
140707;1100;1010;
140707;1200;1010;
140707;1300;1009;
140707;1400;1008;
140707;1500;1008;
140707;1600;1007;
140707;1700;1007;
140707;1800;1008;
140707;1900;1008;
140707;2000;1008;
140707;2100;1008;
140707;2200;1008;
140707;2300;1008;
140708;0000;1008;
140708;0100;1008;
140708;0200;1008;
140708;0300;1008;
140708;0400;1008;
140708;0500;1009;
140708;0600;1009;
140708;0700;1010;
140708;0800;1011;
140708;0900;1012;
140708;1000;1012;
140708;1100;1012;
140708;1200;1012;
140708;1300;1012;
140708;1400;1011;
140708;1500;1011;
140708;1600;1011;
140708;1700;1011;
140708;1800;1012;
140708;1900;1012;
140708;2000;1012;
140708;2100;1012;
140708;2200;1012;
140708;2300;1012;
140709;0000;1012;
140709;0100;1011;
140709;0200;1011;
140709;0300;1010;
140709;0400;1010;
140709;0500;1010;
140709;0600;1010;
140709;0700;1010;
140709;0800;1010;
140709;0900;1010;
140709;1000;1010;
140709;1100;1010;
140709;1200;1009;
140709;1300;1008;
140709;1400;1008;
140709;1500;1008;
140709;1600;1008;
140709;1700;1008;
140709;1800;1008;
140709;1900;1008;
140709;2000;1008;
140709;2100;1007;
140709;2200;1007;
140709;2300;1007;
140710;0000;1007;
140710;0100;1007;
140710;0200;1007;
140710;0300;1006;
140710;0400;1006;
140710;0500;1006;
140710;0600;1006;
140710;0700;1007;
140710;0800;1007;
140710;0900;1007;
140710;1000;1007;
